IncrementalTicker,TickerCount,TickerLookup,Ticker,Date,DateCode,Currency,Conversion,Filing,Year,IQ_TOTAL_REV,GrowthRate_YoY_Revenue,IQ_COST_REV,Variable_Margin,IQ_EBITDA,GrowthRate_YoY_EBITDA,EBITDA_Margin,IQ_DA_CF,Step,DandA_PercentofCapEx,IQ_CAPEX,CapEx_Margin,EBIT,GrowthRate_YoY_EBIT,EBIT_Margin,TaxRate,Taxes,NetIncome,IQ_SALE_INTAN_CF,IQ_CHANGE_NET_OPER_ASSETS,WorkingCapitalMargin,FreeCashFlow
1,16,ACWI!A3,MSFT,43578,,USD,Historical,Latest Fully Reported,2020,124820.1071,0.063497393,43378.26721,0.652473722,50848.6986,0.063497393,0.407375861,9401.376198,0.036205213,-0.923510839,-10180.03883,-0.081557684,41447.3224,0.054123595,0.332056456,0.592031,-24538.09973,16909.22267,0,6640.284908,0.05319884,22770.84495
1,17,ACWI!A3,MSFT,43578,,USD,Historical,Latest Fully Reported,2021,132745.8585,0.063497393,46132.67409,0.652473722,54077.45839,0.063497393,0.407375861,10390.31281,0.036205213,-0.959716052,-10826.44476,-0.081557684,43687.14558,0.054040238,0.329103643,0.592031,-25864.14448,17823.00109,0,7061.925689,0.05319884,24448.79484
1,18,ACWI!A3,MSFT,43578,,USD,Historical,Latest Fully Reported,2022,141174.8745,0.063497393,49061.97862,0.652473722,57511.23602,0.063497393,0.407375861,11466.93364,0.036205213,-0.995921264,-11513.89577,-0.081557684,46044.30238,0.053955386,0.326150829,0.592031,-27259.65438,18784.648,0,7510.339559,0.05319884,26248.02542
1,19,ACWI!A3,MSFT,43578,,USD,Historical,Latest Fully Reported,2023,150139.111,0.063497393,52177.28636,0.652473722,61163.04957,0.063497393,0.407375861,12638.3868,0.036205213,-1.032126477,-12244.99814,-0.081557684,48524.66278,0.053868997,0.323198016,0.592031,-28728.10463,19796.55815,0,7987.226541,0.05319884,28177.17335
2,20,ACWI!A4,AMZN,43578,996,USD,Historical,Latest Fully Reported,2014,88988,,62752,0.294826269,4365,,0.049051558,4187,,-0.855712242,-4893,-0.054984942,178,,0.00200027,0.592031,-105.381518,72.618482,0,974,0.010945296,340.618482
2,21,ACWI!A4,AMZN,43578,997,USD,Historical,Latest Fully Reported,2015,107006,0.202476738,71651,0.330402034,7879,0.805040092,0.073631385,5646,,-1.048078708,-5387,-0.050342971,2233,11.54494382,0.020867989,0.592031,-1322.005223,910.994777,0,2557,0.023895856,3726.994777
2,22,ACWI!A4,AMZN,43578,998,USD,Historical,Latest Fully Reported,2016,135987,0.27083528,88265,0.350930604,12302,0.561365656,0.09046453,8116,,-1.039979498,-7804,-0.057387839,4186,0.87460815,0.030782354,0.592031,-2478.241766,1707.758234,0,3847,0.028289469,5866.758234
2,23,ACWI!A4,AMZN,43578,999,USD,Historical,Latest Fully Reported,2017,177866,0.307963261,111934,0.370683548,15584,0.266785888,0.08761652,11478,,-0.960100376,-11955,-0.06721352,4106,-0.019111323,0.023084794,0.592031,-2430.879286,1675.120714,0,-242,-0.001360575,956.120714
2,24,ACWI!A4,AMZN,43578,1000,USD,Historical,Latest Fully Reported,2018,232887,0.309339615,139156,0.402474161,27762,0.781442505,0.119208028,15341,,-1.142548596,-13427,-0.057654571,12421,2.025085241,0.053334879,0.592031,-7353.617051,5067.382949,0,-1043,-0.004478567,5938.382949
2,25,ACWI!A4,AMZN,43578,,USD,Historical,Latest Fully Reported,2019,296384.5078,0.272653724,177097.4016,0.402474161,35331.41268,0.272653724,0.119208028,20094.30946,0.036205213,-1.178753809,-17047.07913,-0.057516769,15237.10322,0.226721135,0.051409918,0.592031,-9020.837455,6216.265763,0,3396.061389,0.011458296,12659.55748
2,26,ACWI!A4,AMZN,43578,,USD,Historical,Latest Fully Reported,2020,377194.8475,0.272653724,225383.6676,0.402474161,44964.65391,0.272653724,0.119208028,26358.5709,0.036205213,-1.214959022,-21695.02874,-0.057516769,18606.08301,0.221103693,0.049327511,0.592031,-11015.37793,7590.705081,0,4322.010173,0.011458296,16576.25741
2,27,ACWI!A4,AMZN,43578,,USD,Historical,Latest Fully Reported,2021,480038.4272,0.272653724,286835.3638,0.402474161,57224.43424,0.272653724,0.119208028,34544.96872,0.036205213,-1.251164235,-27610.25911,-0.057516769,22679.46552,0.218927461,0.047245104,0.592031,-13426.94665,9252.51887,0,5500.42234,0.011458296,21687.65082
2,28,ACWI!A4,AMZN,43578,,USD,Historical,Latest Fully Reported,2022,610922.692,0.272653724,365042.0939,0.402474161,72826.88933,0.272653724,0.119208028,45235.97268,0.036205213,-1.287369448,-35138.29907,-0.057516769,27590.91665,0.216559386,0.045162697,0.592031,-16334.67798,11256.23867,0,7000.132974,0.011458296,28354.04525
2,29,ACWI!A4,AMZN,43578,,USD,Historical,Latest Fully Reported,2023,777493.0389,0.272653724,464572.1802,0.402474161,92683.41189,0.272653724,0.119208028,59188.78591,0.036205213,-1.323574661,-44718.88716,-0.057516769,33494.62598,0.213972932,0.043080291,0.592031,-19829.85692,13664.76907,0,8908.745296,0.011458296,37043.41311
3,30,ACWI!A5,INDA,43578,996,USD,Historical,Latest Fully Reported,-1,0,,0,#DIV/0!,0,,#DIV/0!,0,,#DIV/0!,0,#DIV/0!,0,,#DIV/0!,0.592031,0,0,0,0,#DIV/0!,0
3,31,ACWI!A5,INDA,43578,997,USD,Historical,Latest Fully Reported,0,0,NA,0,#DIV/0!,0,NA,#DIV/0!,0,,#DIV/0!,0,#DIV/0!,0,NA,#DIV/0!,0.592031,0,0,0,0,#DIV/0!,0
3,32,ACWI!A5,INDA,43578,998,USD,Historical,Latest Fully Reported,0,0,NA,0,#DIV/0!,0,NA,#DIV/0!,0,,#DIV/0!,0,#DIV/0!,0,NA,#DIV/0!,0.592031,0,0,0,0,#DIV/0!,0
3,33,ACWI!A5,INDA,43578,999,USD,Historical,Latest Fully Reported,0,0,NA,0,#DIV/0!,0,NA,#DIV/0!,0,,#DIV/0!,0,#DIV/0!,0,NA,#DIV/0!,0.592031,0,0,0,0,#DIV/0!,0
3,34,ACWI!A5,INDA,43578,1000,USD,Historical,Latest Fully Reported,0,0,NA,0,#DIV/0!,0,NA,#DIV/0!,0,,#DIV/0!,0,#DIV/0!,0,NA,#DIV/0!,0.592031,0,0,0,0,#DIV/0!,0
